;0;1
name;CNN_Paisajes_Base;CNN_Paisajes_Deep
conv_layers_config;[(32, 3, 1), (64, 3, 1), (128, 3, 2), (256, 3, 1)];[(32, 3, 2), (64, 3, 2), (128, 3, 2)]
fc_layers_config;[512, 128];[256]
learning_rate;0,001;0,0005
dropout_conv;0,2;0,3
dropout_fc;0,4;0,5
epochs_run;50;50
test_loss;0,4052483507792155;0,4954544619719187
test_acc;85,3;81,2
history_dict;"{""train_loss"": [1.4873242175483534, 1.2851181328137433, 1.1965676631018825, 1.1165957693743684, 1.0304602999827317, 0.9832030644930587, 0.9428855058452643, 0.9110660617519253, 0.8810493619337957, 0.8407200110988329, 0.8105010908412169, 0.7597699054733303, 0.7464077147966183, 0.7069798142381364, 0.6790859290455881, 0.673264052808444, 0.644228779983011, 0.6315118169848237, 0.6279943016736718, 0.6198605538741457, 0.6063778278027278, 0.6014732458340941, 0.5918763996656728, 0.5796299032833783, 0.5792413451155699, 0.5668250388846479, 0.5646484483381732, 0.5525343297903599, 0.5543772689168833, 0.5481832451833112, 0.5337807228813612, 0.5403040026832879, 0.5320394687958308, 0.5340568564719423, 0.5271459192276425, 0.5164647296296627, 0.5299879955905734, 0.5057961238672557, 0.51116535003336, 0.5077182831980772, 0.5030351096885287, 0.4973981415174523, 0.5018985311473361, 0.5031244015969661, 0.4998951603659327, 0.4923787341570069, 0.4884094686775683, 0.4875819687374129, 0.49135138449770793, 0.4880622554069529], ""train_acc"": [0.3579697239536955, 0.4297417631344613, 0.4667853962600178, 0.5144256455921639, 0.5719501335707925, 0.5913624220837044, 0.6150489759572574, 0.636420302760463, 0.6532502226179875, 0.6719501335707925, 0.7002671415850401, 0.7243989314336599, 0.7266251113089938, 0.7454140694568121, 0.7556544968833482, 0.757346393588602, 0.7671415850400712, 0.7708815672306323, 0.779073909171861, 0.7794300979519145, 0.7839715048975957, 0.7868210151380232, 0.7927871772039181, 0.7955476402493321, 0.7983971504897596, 0.8025823686553873, 0.802226179875334, 0.8001780943900267, 0.8058771148708815, 0.8047195013357079, 0.8106856634016029, 0.8103294746215495, 0.8163846838824577, 0.808993766696349, 0.8198575244879787, 0.8203918076580587, 0.811219946571683, 0.8225289403383793, 0.8220837043633126, 0.8190560997328584, 0.8242208370436331, 0.8230632235084595, 0.8243098842386465, 0.8221727515583259, 0.825912733748887, 0.8215494211932324, 0.8323241317898487, 0.8270703472840606, 0.8267141585040071, 0.8307212822796082], ""val_loss"": [1.2217032844772013, 1.1268732141326054, 1.0472911084429515, 0.9421348349003921, 0.8912734129119362, 0.8771290775712649, 0.8596275549982482, 0.94041357060812, 0.7734167013375803, 0.7120331175487153, 0.6713602150047727, 0.6415598781914922, 0.628681111182704, 0.5960677988008833, 0.5575460588795993, 0.5302422143593324, 0.5918072381305286, 0.5573308083113182, 0.5573633991702647, 0.5430000369116855, 0.5586806216865735, 0.5648619428850955, 0.4740949805384866, 0.5190199541297347, 0.45808661604743883, 0.49539314522892874, 0.5007071355610193, 0.48218253055074584, 0.45981081593223716, 0.4799858273010961, 0.45518409891237377, 0.44337875386447606, 0.43447543049334797, 0.41399575844300796, 0.4417402706030602, 0.5420088378577022, 0.4467132045607084, 0.42848312068257627, 0.4048266760292815, 0.42154460269612354, 0.4295456031079639, 0.44687721341550773, 0.4148058803717522, 0.43081743906806097, 0.4501876178039464, 0.40895360601951664, 0.5008022841730404, 0.4068588510729617, 0.46275368443399284, 0.40994719010957126], ""val_acc"": [0.4340228245363766, 0.4753922967189729, 0.5256776034236804, 0.5916547788873039, 0.6244650499286734, 0.62660485021398, 0.6544222539229672, 0.6340941512125535, 0.7093437945791726, 0.7332382310984308, 0.7646219686162625, 0.7724679029957204, 0.7685449358059915, 0.7838801711840229, 0.7995720399429387, 0.8084878744650499, 0.7803138373751783, 0.7913694721825963, 0.8009985734664765, 0.7985021398002853, 0.7956490727532097, 0.7892296718972895, 0.8295292439372325, 0.8124108416547788, 0.8345221112696148, 0.8156205420827389, 0.8191868758915835, 0.829885877318117, 0.8348787446504993, 0.8159771754636234, 0.837018544935806, 0.8445078459343794, 0.8473609129814551, 0.8516405135520685, 0.8366619115549215, 0.8081312410841655, 0.8377318116975749, 0.848074179743224, 0.8594864479315264, 0.848074179743224, 0.8459343794579173, 0.8380884450784594, 0.8502139800285307, 0.8412981455064193, 0.837018544935806, 0.8601997146932953, 0.8184736091298146, 0.8577032810271041, 0.8355920114122682, 0.8559201141226819]}";"{""train_loss"": [1.5527487124700368, 1.3265149990788339, 1.2642386122250917, 1.2139396007636352, 1.1627367588630872, 1.1130798921665759, 1.0804303289415151, 1.068383954851519, 1.0297080792599456, 1.0175320566921284, 0.9886633119939803, 0.9798255540596409, 0.9461293891297847, 0.9132855223845077, 0.8872852059421217, 0.8730071422465656, 0.8531532559878892, 0.8395489557449667, 0.8177419903441826, 0.8088485384242193, 0.7912477978297036, 0.7821908891784858, 0.7729455187080805, 0.7595512336211234, 0.7465545643150859, 0.7349919106104708, 0.7197387022942384, 0.6963716399850106, 0.694349239292892, 0.6797759025625533, 0.6825279887722522, 0.6649709892824942, 0.6556657774790206, 0.6591977973124435, 0.6426045473303417, 0.6346824190601746, 0.6359572858865624, 0.637717143383179, 0.6238920961122691, 0.6142844790236184, 0.6071582520740539, 0.6141291544465008, 0.5972603992490182, 0.6060266464391353, 0.587747009906616, 0.5976449311469563, 0.5872278054272184, 0.5980101308754694, 0.5775837505702344, 0.5846929798408587], ""train_acc"": [0.3292965271593945, 0.4227960819234194, 0.4366874443455031, 0.46028495102404277, 0.48183437221727515, 0.5147818343722173, 0.5292965271593945, 0.5375779162956367, 0.5492430988423864, 0.5607301869991095, 0.5731077471059661, 0.5851291184327694, 0.6092609082813891, 0.6235084594835263, 0.6390026714158504, 0.6452359750667854, 0.6614425645592164, 0.661353517364203, 0.6795191451469279, 0.6789848619768477, 0.6896705253784505, 0.6947462154942119, 0.6954585930543188, 0.7042742653606412, 0.7135351736420302, 0.7179875333926982, 0.723953695458593, 0.7373998219056099, 0.741406945681211, 0.7487088156723063, 0.7421193232413179, 0.7533392698130009, 0.7577025823686554, 0.7564559216384684, 0.7615316117542298, 0.7645592163846839, 0.7625111308993767, 0.7641139804096171, 0.7690115761353518, 0.7721282279608193, 0.7756010685663401, 0.7750667853962601, 0.778539626001781, 0.7793410507569012, 0.785040071237756, 0.7803205699020481, 0.7860195903829029, 0.7823686553873553, 0.7845057880676759, 0.7848619768477293], ""val_loss"": [1.3581432791137151, 1.177724365841135, 1.1979594754424483, 1.0745095247548928, 1.0134823375863797, 1.0148244819015306, 0.9920984608640684, 0.9677545696114337, 0.9667564446847892, 0.8969721477824169, 0.9030958144538923, 0.8693466982385741, 0.8227046021551276, 0.8383195584748849, 0.7812163578970797, 0.7633154281706, 0.7353133867878716, 0.750465978569379, 0.7196716774207209, 0.7414991791850319, 0.7325618853114981, 0.6631274045193927, 0.6430586645759632, 0.634708185508826, 0.6204393637843547, 0.5868920768038522, 0.6002577490541292, 0.6021203903345851, 0.570706414258089, 0.5830427852064669, 0.5787690093956048, 0.5799859513484803, 0.5905364427859024, 0.6057317908242154, 0.5535680751147521, 0.5294411193882348, 0.590619199966398, 0.5524936718029234, 0.5331219379044804, 0.5139535601315927, 0.5362652805494343, 0.5047741241955043, 0.5405245096809344, 0.5212686359032075, 0.5263799667443426, 0.5158457131086505, 0.4955545904888066, 0.49497502123918413, 0.5083246835628352, 0.5115343118870309], ""val_acc"": [0.39728958630527816, 0.4686162624821683, 0.4482881597717546, 0.5135520684736091, 0.5527817403708987, 0.5356633380884451, 0.5495720399429387, 0.56169757489301, 0.5656205420827389, 0.6055634807417974, 0.5930813124108416, 0.6226818830242511, 0.6433666191155493, 0.6569186875891584, 0.6733238231098431, 0.6950784593437945, 0.7154065620542083, 0.7100570613409415, 0.7275320970042796, 0.7211126961483595, 0.7228958630527818, 0.7403708987161198, 0.7599857346647646, 0.7681883024251069, 0.7639087018544936, 0.7785306704707561, 0.7835235378031383, 0.7860199714693296, 0.7892296718972895, 0.7902995720399429, 0.7878031383737518, 0.7924393723252496, 0.7813837375178316, 0.7885164051355207, 0.8049215406562055, 0.8034950071326676, 0.782453637660485, 0.7988587731811697, 0.81169757489301, 0.8070613409415122, 0.8102710413694721, 0.8127674750356634, 0.8038516405135521, 0.8134807417974322, 0.807774607703281, 0.8113409415121255, 0.8191868758915835, 0.8199001426533523, 0.8206134094151213, 0.8102710413694721]}"
